app_name,authority,releaseDate,developer,tabName
趣键盘极速版,"1读取联系人
2显示在其他应用上面
3修改或删除存储卡中的内容
4访问确切位置信息（使用 GPS 和网络进行定位）
5访问大致位置信息（使用网络进行定位）
6录制音频
7接听来电
8读取存储卡中的内容
9读取通话状态和移动网络信息
10修改系统设置",2020/9/23,上海萌家网络科技有限公司,实用工具
微脉输入法,"1录制音频
2读取联系人
3显示在其他应用上面
4修改或删除存储卡中的内容
5相机
6读取存储卡中的内容
7读取通话状态和移动网络信息
8修改系统设置",2020/11/5,北京助梦工场科技有限公司,实用工具
不折叠输入法,"1显示在其他应用上面
2修改或删除存储卡中的内容
3访问确切位置信息（使用 GPS 和网络进行定位）
4访问大致位置信息（使用网络进行定位）
5读取存储卡中的内容
6读取通话状态和移动网络信息",2020/11/30,水印科技（深圳）有限公司,实用工具
东噶藏文输入法,"1录制音频
2修改或删除存储卡中的内容
3读取存储卡中的内容",2020/11/26,四川讯飞超脑信息科技有限公司,实用工具
套路键盘,"1读取联系人
2显示在其他应用上面
3修改或删除存储卡中的内容
4访问确切位置信息（使用 GPS 和网络进行定位）
5访问大致位置信息（使用网络进行定位）
6读取存储卡中的内容
7读取通话状态和移动网络信息
8修改系统设置",2020/11/27,北京第二信息技术有限责任公司,实用工具
微商输入法,"1显示在其他应用上面
2修改或删除存储卡中的内容
3访问确切位置信息（使用 GPS 和网络进行定位）
4访问大致位置信息（使用网络进行定位）
5录制音频
6相机
7读取存储卡中的内容
8读取通话状态和移动网络信息",2020/10/21,北京鹏图助梦科技有限公司,实用工具
百度输入法华为版,"1读取联系人
2查找设备上的帐号
3显示在其他应用上面
4修改或删除存储卡中的内容
5访问确切位置信息（使用 GPS 和网络进行定位）
6访问大致位置信息（使用网络进行定位）
7录制音频
8相机
9读取存储卡中的内容
10读取通话状态和移动网络信息
11修改系统设置",2018/8/27,华为终端有限公司,实用工具
万能五笔输入法,"1显示在其他应用上面
2访问大致位置信息（使用网络进行定位）
3访问确切位置信息（使用 GPS 和网络进行定位）
4读取通话状态和移动网络信息
5读取联系人
6读取存储卡中的内容
7相机
8修改或删除存储卡中的内容
9修改系统设置",2020/8/12,上海高欣计算机系统有限公司,实用工具
趣打字,"1显示在其他应用上面
2修改或删除存储卡中的内容
3访问确切位置信息（使用 GPS 和网络进行定位）
4访问大致位置信息（使用网络进行定位）
5应用使用情况
6读取存储卡中的内容
7读取通话状态和移动网络信息",2020/12/3,上海采拾信息科技有限公司,实用工具
百度日文输入法,"1录制音频
2修改或删除存储卡中的内容
3读取存储卡中的内容",2020/12/1,百度国际科技（深圳）有限公司,实用工具
特殊文字,"1显示在其他应用上面
2修改或删除存储卡中的内容
3访问确切位置信息（使用 GPS 和网络进行定位）
4访问大致位置信息（使用网络进行定位）
5应用使用情况
6读取存储卡中的内容
7读取通话状态和移动网络信息
8修改系统设置",2020/11/12,深圳链条科技有限公司,实用工具
百度输入法AI探索版,"1访问确切位置信息（使用 GPS 和网络进行定位）
2读取存储卡中的内容
3显示在其他应用上面
4录制音频
5修改系统设置
6读取联系人
7读取通话状态和移动网络信息
8修改或删除存储卡中的内容
9相机
10访问大致位置信息（使用网络进行定位）",2019/2/2,False,实用工具
Nur输入法,"1读取联系人
2查找设备上的帐号
3读取短信/彩信
4显示在其他应用上面
5修改或删除存储卡中的内容
6访问确切位置信息（使用 GPS 和网络进行定位）
7访问大致位置信息（使用网络进行定位）
8接收短信
9录制音频
10相机
11读取存储卡中的内容
12读取通话状态和移动网络信息
13修改系统设置",2020/11/7,新疆连线网络科技有限公司,实用工具
手迹造字,"1读取联系人
2查找设备上的帐号
3拨打电话
4显示在其他应用上面
5修改或删除存储卡中的内容
6访问确切位置信息（使用 GPS 和网络进行定位）
7录制音频
8相机
9读取存储卡中的内容
10修改系统设置
11读取通话状态和移动网络信息",2020/11/26,北京方正手迹数字技术有限公司,实用工具
斑马输入法,"1新建/修改/删除日历
2读取电话号码
3读取日历
4访问大致位置信息（使用网络进行定位）
5应用使用情况
6录制音频
7读取联系人
8读取短信/彩信
9查找设备上的帐号
10显示在其他应用上面
11修改或删除存储卡中的内容
12访问确切位置信息（使用 GPS 和网络进行定位）
13相机
14读取存储卡中的内容
15读取通话状态和移动网络信息
16修改系统设置",2020/11/23,上海禾赞网络科技有限公司,实用工具
Kazakhsha Kirgizwshi,"1录制音频
2读取存储卡中的内容
3读取通话记录
4读取联系人
5读取短信/彩信
6读取通话状态和移动网络信息
7查找设备上的帐号
8访问大致位置信息（使用网络进行定位）
9新建/修改/删除联系人
10访问确切位置信息（使用 GPS 和网络进行定位）
11显示在其他应用上面
12修改或删除存储卡中的内容",2019/11/10,广州智品网络科技有限公司,实用工具
手心输入法,"1读取联系人
2显示在其他应用上面
3修改或删除存储卡中的内容
4访问确切位置信息（使用 GPS 和网络进行定位）
5访问大致位置信息（使用网络进行定位）
6录制音频
7相机
8读取存储卡中的内容
9读取通话状态和移动网络信息
10修改系统设置",2020/11/11,北京奇元科技有限公司,实用工具
扣字怼人输入法,"1修改或删除存储卡中的内容
2访问确切位置信息（使用 GPS 和网络进行定位）
3访问大致位置信息（使用网络进行定位）
4相机
5读取存储卡中的内容
6读取通话状态和移动网络信息",2020/8/31,上海欢旦信息科技有限公司,实用工具
防折叠输入法,"1修改或删除存储卡中的内容
2访问确切位置信息（使用 GPS 和网络进行定位）
3访问大致位置信息（使用网络进行定位）
4相机
5读取存储卡中的内容
6读取通话状态和移动网络信息
7修改系统设置",2020/10/21,重庆杨桃科技有限公司,实用工具
酷输入法,"1读取联系人
2查找设备上的帐号
3显示在其他应用上面
4修改或删除存储卡中的内容
5访问确切位置信息（使用 GPS 和网络进行定位）
6访问大致位置信息（使用网络进行定位）
7录制音频
8相机
9读取存储卡中的内容
10读取通话状态和移动网络信息",2020/10/29,讯通无限（广州）网络技术有限公司,实用工具
超炫字体管家,"1修改或删除存储卡中的内容
2读取存储卡中的内容
3访问大致位置信息（使用网络进行定位）
4读取通话状态和移动网络信息
5访问确切位置信息（使用 GPS 和网络进行定位）",2020/1/15,合肥应顺信息科技有限公司,实用工具
不折叠,"1修改或删除存储卡中的内容
2访问确切位置信息（使用 GPS 和网络进行定位）
3访问大致位置信息（使用网络进行定位）
4读取存储卡中的内容
5读取通话状态和移动网络信息",2020/11/5,福鼎市众人网络科技有限公司,实用工具
西瓜输入法,"1显示在其他应用上面
2修改或删除存储卡中的内容
3访问大致位置信息（使用网络进行定位）
4应用使用情况
5录制音频
6相机
7读取存储卡中的内容
8读取通话状态和移动网络信息",2020/12/1,苏州魅游网络科技有限公司,实用工具
微商输入法,"1相机
2读取存储卡中的内容
3修改或删除存储卡中的内容
4读取通话状态和移动网络信息",2020/12/7,上海追书信息技术中心,实用工具
斗图表情王,"1读取通话状态和移动网络信息
2修改或删除存储卡中的内容
3读取存储卡中的内容",2019/12/23,长沙班门网络科技有限公司,实用工具
字体下载,"1读取存储卡中的内容
2修改或删除存储卡中的内容
3相机",2020/7/23,长沙先讯快锋影视传媒有限公司,实用工具
不折叠朋友圈输入法,"1修改或删除存储卡中的内容
2访问确切位置信息（使用 GPS 和网络进行定位）
3访问大致位置信息（使用网络进行定位）
4读取存储卡中的内容
5读取通话状态和移动网络信息",2020/8/31,福鼎市扬创网络科技有限公司,实用工具
翻译输入法,"1读取通话状态和移动网络信息
2录制音频
3访问确切位置信息（使用 GPS 和网络进行定位）
4修改或删除存储卡中的内容
5读取存储卡中的内容
6修改系统设置
7读取联系人",2019/6/15,中译语通科技股份有限公司,实用工具
键盘侠不折叠输入法,"1读取存储卡中的内容
2修改或删除存储卡中的内容
3读取通话状态和移动网络信息",2020/8/27,广州舜飞信息科技有限公司,实用工具
个性签名设计师,"1接收短信
2读取存储卡中的内容
3读取通话状态和移动网络信息
4修改或删除存储卡中的内容",2020/12/4,北京启码时代科技有限公司,实用工具
26k键盘输入法,"1显示在其他应用上面
2修改或删除存储卡中的内容
3录制音频
4读取存储卡中的内容",2020/4/22,厦门创世线程科技有限公司,实用工具
小键盘,"1读取联系人
2读取存储卡中的内容
3读取通话状态和移动网络信息
4显示在其他应用上面
5修改或删除存储卡中的内容
6访问确切位置信息（使用 GPS 和网络进行定位）",2020/5/30,刘正军,实用工具
天天五笔,"1修改系统设置
2读取电话号码
3读取联系人
4读取存储卡中的内容
5读取通话状态和移动网络信息
6访问确切位置信息（使用 GPS 和网络进行定位）
7显示在其他应用上面
8访问大致位置信息（使用网络进行定位）
9修改或删除存储卡中的内容
10录制音频
11相机",2020/5/27,蒋伟,实用工具
不折叠朋友圈,"1显示在其他应用上面
2相机
3读取存储卡中的内容
4读取通话状态和移动网络信息
5修改或删除存储卡中的内容",2020/9/24,邓福明,实用工具
Neo Notes,"1修改或删除存储卡中的内容
2访问大致位置信息（使用网络进行定位）
3读取通话状态和移动网络信息
4录制音频
5查找设备上的帐号
6访问确切位置信息（使用 GPS 和网络进行定位）
7显示在其他应用上面
8读取存储卡中的内容",2019/10/21,青岛英俊网络科技有限公司,实用工具
普逻码输入法,"1修改或删除存储卡中的内容
2读取存储卡中的内容",2020/11/12,王海青,实用工具
云藏输入法,"1录制音频
2读取通话状态和移动网络信息
3修改或删除存储卡中的内容
4读取存储卡中的内容",2019/11/20,海南藏族自治州藏文信息技术研究中心,实用工具
灵云智能输入法,"1新建/修改/删除联系人
2读取通话状态和移动网络信息
3录制音频
4修改或删除存储卡中的内容
5相机
6查找设备上的帐号
7读取存储卡中的内容
8读取联系人",2019/11/19,北京捷通华声科技股份有限公司,实用工具
乐赚输入法,"1读取通话状态和移动网络信息
2修改或删除存储卡中的内容
3读取存储卡中的内容
4访问大致位置信息（使用网络进行定位）
5读取通话记录
6修改系统设置
7读取短信/彩信
8显示在其他应用上面
9访问确切位置信息（使用 GPS 和网络进行定位）
10相机
11读取联系人
12查找设备上的帐号
13应用使用情况",2019/7/9,北京小熊博望科技有限公司,实用工具
安心输入法,"1读取联系人
2显示在其他应用上面
3修改或删除存储卡中的内容
4读取存储卡中的内容
5读取通话状态和移动网络信息",2020/9/9,北京芯盾集团有限公司,实用工具
流行输入法,"1读取联系人
2显示在其他应用上面
3读取存储卡中的内容
4修改或删除存储卡中的内容
5读取通话状态和移动网络信息",2020/11/14,刘恒林,实用工具
宠物输入法,"1显示在其他应用上面
2修改或删除存储卡中的内容
3相机
4读取存储卡中的内容
5读取通话状态和移动网络信息
6修改系统设置",2020/9/21,上海古晨信息科技有限公司,实用工具
汉字先生输入法,"1相机
2修改或删除存储卡中的内容
3读取通话状态和移动网络信息
4录制音频
5查找设备上的帐号
6显示在其他应用上面
7读取存储卡中的内容
8辅助功能
9访问大致位置信息（使用网络进行定位）
10修改系统设置
11访问确切位置信息（使用 GPS 和网络进行定位）
12拨打电话",2019/7/3,岳阳市鼎创科技有限公司,实用工具
岁寒输入法,"1读取联系人
2录制音频
3修改系统设置",2018/7/25,黄柏儒,实用工具
IN输入法,"1显示在其他应用上面
2读取通话状态和移动网络信息",2020/10/26,武汉速诺科技有限公司,实用工具
简出键盘,"1修改或删除存储卡中的内容
2读取存储卡中的内容
3显示在其他应用上面
4读取通话状态和移动网络信息",2020/5/29,佛冈永讯网络技术有限公司,实用工具
贝店输入法,"1读取存储卡中的内容
2录制音频
3修改或删除存储卡中的内容
4相机",2020/3/22,杭州微享科技有限公司,实用工具
一念,"1显示在其他应用上面
2修改或删除存储卡中的内容
3访问确切位置信息（使用 GPS 和网络进行定位）
4访问大致位置信息（使用网络进行定位）
5读取存储卡中的内容
6读取通话状态和移动网络信息
7修改系统设置",2020/11/7,广州黑箱网络科技有限公司,实用工具
单手拼音,"1修改或删除存储卡中的内容
2访问确切位置信息（使用 GPS 和网络进行定位）
3访问大致位置信息（使用网络进行定位）
4相机
5读取存储卡中的内容
6读取通话状态和移动网络信息
7修改系统设置",2020/12/5,梁忠鹏,实用工具
米果输入法,"1读取存储卡中的内容
2修改或删除存储卡中的内容
3查找设备上的帐号",2019/12/7,上海禾一网络科技有限公司,实用工具
虾滑输入法,"1读取通话状态和移动网络信息
2显示在其他应用上面
3修改或删除存储卡中的内容
4读取存储卡中的内容
5录制音频",2020/6/28,上海趣虫科技有限公司,实用工具
海豹输入法,"1读取通话状态和移动网络信息
2读取存储卡中的内容
3读取联系人
4修改或删除存储卡中的内容
5查找设备上的帐号",2020/6/3,广州众帧科技有限公司,实用工具
百度,"1新建/修改/删除日历
2读取日历
3访问大致位置信息（使用网络进行定位）
4应用使用情况
5录制音频
6读取联系人
7查找设备上的帐号
8显示在其他应用上面
9修改或删除存储卡中的内容
10访问确切位置信息（使用 GPS 和网络进行定位）
11相机
12读取存储卡中的内容
13读取通话状态和移动网络信息
14修改系统设置",2020/12/7,百度在线网络技术（北京）有限公司,实用工具
QQ浏览器,"1应用使用情况
2读取联系人
3访问确切位置信息（使用 GPS 和网络进行定位）
4访问大致位置信息（使用网络进行定位）
5录制音频
6显示在其他应用上面
7修改或删除存储卡中的内容
8相机
9读取存储卡中的内容
10读取通话状态和移动网络信息
11修改系统设置",2020/12/3,腾讯科技（深圳）有限公司,实用工具
夸克,"1拨打电话
2显示在其他应用上面
3修改或删除存储卡中的内容
4访问确切位置信息（使用 GPS 和网络进行定位）
5访问大致位置信息（使用网络进行定位）
6录制音频
7相机
8读取存储卡中的内容
9读取通话状态和移动网络信息
10修改系统设置",2020/12/3,优视科技（中国）有限公司,实用工具
搜狗浏览器,"1显示在其他应用上面
2修改或删除存储卡中的内容
3访问确切位置信息（使用 GPS 和网络进行定位）
4访问大致位置信息（使用网络进行定位）
5应用使用情况
6录制音频
7相机
8读取存储卡中的内容
9读取通话状态和移动网络信息
10修改系统设置",2020/12/3,北京搜狗科技发展有限公司,实用工具
UC浏览器大字版,"1显示在其他应用上面
2修改或删除存储卡中的内容
3访问确切位置信息（使用 GPS 和网络进行定位）
4访问大致位置信息（使用网络进行定位）
5录制音频
6相机
7读取存储卡中的内容
8读取通话状态和移动网络信息",2020/12/7,优视科技（中国）有限公司,实用工具
360浏览器,"1访问大致位置信息（使用网络进行定位）
2录制音频
3查找设备上的帐号
4显示在其他应用上面
5修改或删除存储卡中的内容
6访问确切位置信息（使用 GPS 和网络进行定位）
7相机
8读取存储卡中的内容
9读取通话状态和移动网络信息",2020/11/27,北京奇虎科技有限公司,实用工具
2345浏览器,"1访问大致位置信息（使用网络进行定位）
2录制音频
3修改或删除存储卡中的内容
4访问确切位置信息（使用 GPS 和网络进行定位）
5相机
6读取存储卡中的内容
7读取通话状态和移动网络信息
8修改系统设置",2020/12/10,上海二三四五网络科技有限公司,实用工具
UC浏览器,"1显示在其他应用上面
2修改或删除存储卡中的内容
3访问确切位置信息（使用 GPS 和网络进行定位）
4访问大致位置信息（使用网络进行定位）
5录制音频
6相机
7读取存储卡中的内容
8读取通话状态和移动网络信息",2020/12/7,优视科技（中国）有限公司,实用工具
UC浏览器极速版,"1显示在其他应用上面
2修改或删除存储卡中的内容
3访问确切位置信息（使用 GPS 和网络进行定位）
4访问大致位置信息（使用网络进行定位）
5录制音频
6相机
7读取存储卡中的内容
8读取通话状态和移动网络信息",2020/11/23,优视科技（中国）有限公司,实用工具
私密浏览器,"1访问大致位置信息（使用网络进行定位）
2显示在其他应用上面
3修改或删除存储卡中的内容
4访问确切位置信息（使用 GPS 和网络进行定位）
5相机
6读取存储卡中的内容
7读取通话状态和移动网络信息",2020/12/2,北京乐读科技有限公司,实用工具
Via浏览器 ,"1修改或删除存储卡中的内容
2访问确切位置信息（使用 GPS 和网络进行定位）
3读取存储卡中的内容",2020/11/30,涂亚锋,实用工具
百度浏览器,"1访问大致位置信息（使用网络进行定位）
2录制音频
3读取联系人
4显示在其他应用上面
5修改或删除存储卡中的内容
6访问确切位置信息（使用 GPS 和网络进行定位）
7相机
8读取存储卡中的内容
9读取通话状态和移动网络信息
10修改系统设置",2020/11/3,北京百度网讯科技有限公司,实用工具
猎豹浏览器,"1应用使用情况
2访问确切位置信息（使用 GPS 和网络进行定位）
3访问大致位置信息（使用网络进行定位）
4录制音频
5查找设备上的帐号
6显示在其他应用上面
7修改或删除存储卡中的内容
8相机
9读取存储卡中的内容
10修改系统设置
11读取通话状态和移动网络信息",2020/11/12,北京金山安全软件有限公司,实用工具
超速浏览器,"1显示在其他应用上面
2修改或删除存储卡中的内容
3访问确切位置信息（使用 GPS 和网络进行定位）
4访问大致位置信息（使用网络进行定位）
5应用使用情况
6相机
7读取存储卡中的内容
8读取通话状态和移动网络信息",2020/11/23,厦门说玩互娱科技有限公司,实用工具
极速浏览器,"1读取通话状态和移动网络信息
2修改或删除存储卡中的内容
3读取存储卡中的内容
4显示在其他应用上面
5访问确切位置信息（使用 GPS 和网络进行定位）
6相机
7录制音频
8访问大致位置信息（使用网络进行定位）",2020/3/13,北京奇虎科技有限公司,实用工具
X浏览器,"1访问确切位置信息（使用 GPS 和网络进行定位）
2读取存储卡中的内容
3修改或删除存储卡中的内容",2020/11/24,北京心往科技有限公司,实用工具
Edge,"1读取存储卡中的内容
2录制音频
3读取联系人
4相机
5访问大致位置信息（使用网络进行定位）
6查找设备上的帐号
7访问确切位置信息（使用 GPS 和网络进行定位）
8修改或删除存储卡中的内容",2020/11/2,微软（中国）有限公司,实用工具
360浏览器-迷你版,"1修改系统设置
2显示在其他应用上面
3相机
4访问确切位置信息（使用 GPS 和网络进行定位）
5访问大致位置信息（使用网络进行定位）
6读取通话状态和移动网络信息
7修改或删除存储卡中的内容
8读取存储卡中的内容",2019/8/2,北京奇虎科技有限公司,实用工具
e浏览器,"1修改或删除存储卡中的内容
2访问确切位置信息（使用 GPS 和网络进行定位）
3访问大致位置信息（使用网络进行定位）
4相机
5读取存储卡中的内容
6读取通话状态和移动网络信息",2020/12/4,北京乐读科技有限公司,实用工具
极鹰浏览器,"1访问大致位置信息（使用网络进行定位）
2修改或删除存储卡中的内容
3相机
4读取存储卡中的内容
5读取通话状态和移动网络信息",2020/12/10,西安诚优网络科技有限责任公司,实用工具
欧朋浏览器,"1访问大致位置信息（使用网络进行定位）
2应用使用情况
3显示在其他应用上面
4修改或删除存储卡中的内容
5访问确切位置信息（使用 GPS 和网络进行定位）
6相机
7读取存储卡中的内容
8读取通话状态和移动网络信息
9修改系统设置",2020/11/11,北界无限（北京）软件有限公司,实用工具
微软必应,"1修改或删除存储卡中的内容
2相机
3查找设备上的帐号
4读取存储卡中的内容
5访问确切位置信息（使用 GPS 和网络进行定位）
6拨打电话
7显示在其他应用上面
8访问大致位置信息（使用网络进行定位）
9读取通话状态和移动网络信息
10录制音频",2020/5/14,微软移动联新互联网服务有限公司,实用工具
搜狗浏览器极速版,"1读取通话状态和移动网络信息
2录制音频
3显示在其他应用上面
4查找设备上的帐号
5访问确切位置信息（使用 GPS 和网络进行定位）
6修改或删除存储卡中的内容
7读取存储卡中的内容
8相机
9修改系统设置
10访问大致位置信息（使用网络进行定位）
11应用使用情况",2019/10/11,北京搜狗科技发展有限公司,实用工具
WiFi万能钥匙浏览器,"1访问大致位置信息（使用网络进行定位）
2应用使用情况
3录制音频
4查找设备上的帐号
5显示在其他应用上面
6修改或删除存储卡中的内容
7访问确切位置信息（使用 GPS 和网络进行定位）
8相机
9读取存储卡中的内容
10读取通话状态和移动网络信息",2020/11/30,上海连尚网络科技有限公司,实用工具
高速浏览器,"1访问大致位置信息（使用网络进行定位）
2显示在其他应用上面
3修改或删除存储卡中的内容
4访问确切位置信息（使用 GPS 和网络进行定位）
5相机
6读取存储卡中的内容
7读取通话状态和移动网络信息",2020/12/7,北京乐读科技有限公司,实用工具
UA浏览器,"1访问大致位置信息（使用网络进行定位）
2查找设备上的帐号
3显示在其他应用上面
4修改或删除存储卡中的内容
5访问确切位置信息（使用 GPS 和网络进行定位）
6相机
7读取存储卡中的内容
8读取通话状态和移动网络信息",2020/11/26,北京思略九航科技有限公司,实用工具
极速浏览器,"1显示在其他应用上面
2修改或删除存储卡中的内容
3访问确切位置信息（使用 GPS 和网络进行定位）
4访问大致位置信息（使用网络进行定位）
5相机
6读取存储卡中的内容
7读取通话状态和移动网络信息",2020/11/9,北京乐读科技有限公司,实用工具
久久浏览器,"1显示在其他应用上面
2修改或删除存储卡中的内容
3访问确切位置信息（使用 GPS 和网络进行定位）
4访问大致位置信息（使用网络进行定位）
5相机
6读取存储卡中的内容
7读取通话状态和移动网络信息",2020/11/4,北京久讯在线科技有限公司,实用工具
星尘浏览器HD,"1读取通话状态和移动网络信息
2访问大致位置信息（使用网络进行定位）
3修改或删除存储卡中的内容
4录制音频
5访问确切位置信息（使用 GPS 和网络进行定位）
6读取存储卡中的内容
7显示在其他应用上面
8相机",2019/12/16,北京超卓科技有限公司,实用工具
浏览器plus,"1访问大致位置信息（使用网络进行定位）
2显示在其他应用上面
3修改或删除存储卡中的内容
4访问确切位置信息（使用 GPS 和网络进行定位）
5相机
6读取存储卡中的内容
7读取通话状态和移动网络信息",2020/12/2,北京墨樱科技有限公司,实用工具
简单搜索,"1显示在其他应用上面
2修改或删除存储卡中的内容
3访问确切位置信息（使用 GPS 和网络进行定位）
4访问大致位置信息（使用网络进行定位）
5录制音频
6相机
7读取存储卡中的内容
8修改系统设置
9读取通话状态和移动网络信息",2020/9/21,百度云计算技术（北京）有限公司,实用工具
桔子浏览器,"1显示在其他应用上面
2访问大致位置信息（使用网络进行定位）
3读取通话状态和移动网络信息
4相机
5访问确切位置信息（使用 GPS 和网络进行定位）
6修改或删除存储卡中的内容
7读取存储卡中的内容",2019/5/15,北京四象联创网络技术有限公司,实用工具
极速通浏览器,"1读取通话状态和移动网络信息
2读取存储卡中的内容
3修改或删除存储卡中的内容
4访问确切位置信息（使用 GPS 和网络进行定位）
5应用使用情况
6访问大致位置信息（使用网络进行定位）
7相机",2020/4/27,深圳市方贝科技有限公司,实用工具
傲游移动浏览器,"1访问确切位置信息（使用 GPS 和网络进行定位）
2访问大致位置信息（使用网络进行定位）
3录制音频
4显示在其他应用上面
5修改或删除存储卡中的内容
6相机
7读取存储卡中的内容
8修改系统设置
9读取通话状态和移动网络信息",2020/12/8,网际傲游（北京）科技有限公司,实用工具
千幻魔镜VR,"1读取通话状态和移动网络信息
2相机
3访问大致位置信息（使用网络进行定位）
4修改或删除存储卡中的内容
5显示在其他应用上面
6读取存储卡中的内容",2019/11/27,桂林市千幻网络科技有限公司,实用工具
华为浏览器,"1读取存储卡中的内容
2相机
3查找设备上的帐号
4修改或删除存储卡中的内容
5访问大致位置信息（使用网络进行定位）
6访问确切位置信息（使用 GPS 和网络进行定位）
7录制音频",2020/7/30,华为软件技术有限公司,实用工具
头条搜索,"1修改或删除存储卡中的内容
2访问大致位置信息（使用网络进行定位）
3相机
4录制音频
5读取联系人
6读取日历
7查找设备上的帐号
8读取通话状态和移动网络信息
9访问确切位置信息（使用 GPS 和网络进行定位）
10读取存储卡中的内容
11新建/修改/删除日历
12显示在其他应用上面
13修改系统设置",2020/5/7,北京字节跳动科技有限公司,实用工具
神奇浏览器,"1访问确切位置信息（使用 GPS 和网络进行定位）
2访问大致位置信息（使用网络进行定位）
3读取通话状态和移动网络信息
4显示在其他应用上面
5读取存储卡中的内容
6修改或删除存储卡中的内容
7相机",2020/3/16,武汉默契科技有限公司,实用工具
QP浏览器,"1修改或删除存储卡中的内容
2访问确切位置信息（使用 GPS 和网络进行定位）
3访问大致位置信息（使用网络进行定位）
4相机
5读取存储卡中的内容
6读取通话状态和移动网络信息",2020/11/6,北京思略九航科技有限公司,实用工具
浏览器加,"1修改或删除存储卡中的内容
2访问确切位置信息（使用 GPS 和网络进行定位）
3访问大致位置信息（使用网络进行定位）
4相机
5读取存储卡中的内容
6读取通话状态和移动网络信息",2020/11/7,北京墨樱科技有限公司,实用工具
w浏览器,"1修改或删除存储卡中的内容
2访问确切位置信息（使用 GPS 和网络进行定位）
3访问大致位置信息（使用网络进行定位）
4相机
5读取存储卡中的内容
6读取通话状态和移动网络信息",2020/11/16,北京聚贤博众科技有限公司,实用工具
鲨鱼浏览器,"1读取联系人
2显示在其他应用上面
3修改或删除存储卡中的内容
4访问确切位置信息（使用 GPS 和网络进行定位）
5访问大致位置信息（使用网络进行定位）
6录制音频
7相机
8读取存储卡中的内容
9读取通话状态和移动网络信息
10修改系统设置",2020/12/10,北京指尖卓越科技有限公司,实用工具
